Timestamp,Time,Ground Floor Temperature (°C),Ground Floor Setpoint (°C),Ground Floor Variation (°C),Ground Floor Humidity (%),Ground Floor Light,Ground Floor Window,Top Floor Temperature (°C),Top Floor Setpoint (°C),Top Floor Variation (°C),Top Floor Humidity (%),Top Floor Light,Top Floor Window,External Temperature (°C),External Humidity (%)
"19/02/2025, 11:14:46","11:14","18.7","27","-8.3","33.8","ON","CLOSED","19.2","27","-7.8","32.2","ON","CLOSED","18.9","32.2"
"19/02/2025, 11:15:20","11:15","19.3","27","-7.7","33.1","ON","CLOSED","19.6","27","-7.4","31.8","ON","CLOSED","18.9","32.1"
"19/02/2025, 11:15:54","11:15","19.9","27","-7.1","32.3","ON","CLOSED","20.1","27","-6.9","31.2","ON","CLOSED","18.9","32.2"
"19/02/2025, 11:16:28","11:16","20.7","27","-6.3","31.3","ON","CLOSED","20.7","27","-6.3","30.5","ON","CLOSED","18.9","32.3"
"19/02/2025, 11:17:02","11:17","21.4","27","-5.6","30.3","ON","CLOSED","21.3","27","-5.7","29.8","ON","CLOSED","18.9","32.3"
"19/02/2025, 11:17:35","11:17","22.2","27","-4.8","29.3","ON","CLOSED","22.0","27","-5.0","29.0","ON","CLOSED","18.9","32.2"
"19/02/2025, 11:18:09","11:18","22.9","27","-4.1","28.3","ON","CLOSED","22.7","27","-4.3","28.2","ON","CLOSED","18.9","32.2"
"19/02/2025, 11:18:43","11:18","23.6","27","-3.4","27.3","ON","CLOSED","23.4","27","-3.6","27.3","ON","CLOSED","19.0","32.2"
"19/02/2025, 11:19:17","11:19","24.3","27","-2.7","26.4","ON","CLOSED","24.1","27","-2.9","26.3","ON","CLOSED","18.9","32.2"
"19/02/2025, 11:19:51","11:19","25.0","27","-2.0","25.6","ON","CLOSED","24.8","27","-2.2","25.6","ON","CLOSED","19.0","32.2"
"19/02/2025, 11:20:24","11:20","25.6","27","-1.4","24.8","ON","CLOSED","25.4","27","-1.6","24.6","ON","CLOSED","19.0","32.3"
"19/02/2025, 11:20:58","11:20","26.2","27","-0.8","24.1","ON","CLOSED","26.1","27","-0.9","23.8","ON","CLOSED","19.0","32.2"
"19/02/2025, 11:21:32","11:21","26.8","27","-0.2","23.4","ON","CLOSED","26.7","27","-0.3","23.1","ON","CLOSED","19.0","32.3"
"19/02/2025, 11:22:15","11:22","27.3","27","0.3","22.8","OFF","OPEN","27.2","27","0.2","22.3","OFF","OPEN","19.1","32.2"
"19/02/2025, 11:22:49","11:22","27.6","27","0.6","22.0","OFF","OPEN","27.6","27","0.6","21.8","OFF","OPEN","19.1","32.2"
"19/02/2025, 11:23:56","11:23","27.1","27","0.1","21.7","OFF","OPEN","27.6","27","0.6","20.9","OFF","OPEN","19.1","32.0"
"19/02/2025, 11:24:35","11:24","26.7","27","-0.3","21.9","ON","CLOSED","27.4","27","0.4","20.8","OFF","OPEN","19.1","32.0"
"19/02/2025, 11:25:47","11:25","26.3","27","-0.7","22.5","ON","CLOSED","26.9","27","-0.1","21.0","ON","CLOSED","19.2","32.0"
"19/02/2025, 11:26:21","11:26","26.5","27","-0.5","22.5","ON","CLOSED","26.8","27","-0.2","21.2","ON","CLOSED","19.2","32.1"
"19/02/2025, 11:26:56","11:26","26.8","27","-0.2","22.3","ON","CLOSED","26.9","27","-0.1","21.2","ON","CLOSED","19.2","32.0"
"19/02/2025, 11:27:34","11:27","27.2","27","0.2","21.9","ON","CLOSED","27.1","27","0.1","21.1","OFF","OPEN","19.2","32.0"
"19/02/2025, 11:28:12","11:28","27.6","27","0.6","21.7","OFF","OPEN","27.3","27","0.3","20.9","OFF","OPEN","19.2","32.0"
"19/02/2025, 11:29:20","11:29","27.3","27","0.3","21.3","OFF","OPEN","27.2","27","0.2","20.9","OFF","OPEN","19.2","32.1"
"19/02/2025, 11:30:32","11:30","26.6","27","-0.4","22.0","ON","CLOSED","27.0","27","0.0","20.8","OFF","OPEN","19.2","32.0"
"19/02/2025, 11:31:11","11:31","26.6","27","-0.4","22.0","ON","CLOSED","26.8","27","-0.2","20.8","ON","CLOSED","19.2","31.9"
"19/02/2025, 11:31:45","11:31","26.7","27","-0.3","22.1","ON","CLOSED","26.8","27","-0.2","20.9","ON","CLOSED","19.2","32.0"
"19/02/2025, 11:32:19","11:32","27.0","27","0.0","21.9","ON","CLOSED","27.0","27","0.0","20.8","ON","CLOSED","19.2","32.0"
"19/02/2025, 11:33:02","11:33","27.4","27","0.4","21.7","OFF","OPEN","27.2","27","0.2","20.7","OFF","OPEN","19.2","32.0"
"19/02/2025, 11:33:35","11:33","27.3","27","0.3","21.4","OFF","OPEN","27.4","27","0.4","20.7","OFF","OPEN","19.2","32.1"
"19/02/2025, 11:34:09","11:34","27.1","27","0.1","21.4","OFF","OPEN","27.5","27","0.5","20.5","OFF","OPEN","19.2","32.0"
"19/02/2025, 11:34:43","11:34","26.8","27","-0.2","21.6","OFF","OPEN","27.4","27","0.4","20.4","OFF","OPEN","19.2","32.1"
"19/02/2025, 11:35:21","11:35","26.4","27","-0.6","22.0","ON","CLOSED","27.2","27","0.2","20.3","OFF","OPEN","19.3","32.0"
"19/02/2025, 11:35:57","11:35","26.4","27","-0.6","22.0","ON","CLOSED","27.0","27","0.0","20.4","OFF","OPEN","19.2","31.9"
"19/02/2025, 11:36:35","11:36","26.5","27","-0.5","22.2","ON","CLOSED","26.8","27","-0.2","20.4","ON","CLOSED","19.3","31.8"
"19/02/2025, 11:49:45","11:49","26.8","27","-0.2","21.4","ON","CLOSED","27.0","27","0.0","20.3","OFF","OPEN","19.3","31.9"
"19/02/2025, 11:50:24","11:50","26.6","27","-0.4","21.5","ON","CLOSED","26.9","27","-0.1","20.4","ON","CLOSED","19.3","31.9"
"19/02/2025, 11:50:58","11:50","26.7","27","-0.3","21.8","ON","CLOSED","26.9","27","-0.1","20.5","ON","CLOSED","19.3","31.9"
"19/02/2025, 11:51:36","11:51","27.0","27","0.0","21.5","ON","CLOSED","27.1","27","0.1","20.2","OFF","OPEN","19.3","31.8"
"19/02/2025, 11:52:14","11:52","27.3","27","0.3","21.4","OFF","OPEN","27.2","27","0.2","20.0","OFF","OPEN","19.3","31.7"
"19/02/2025, 11:52:48","11:52","27.5","27","0.5","20.9","OFF","OPEN","27.2","27","0.2","20.1","OFF","OPEN","19.3","31.7"
"19/02/2025, 11:53:22","11:53","27.3","27","0.3","20.9","OFF","OPEN","27.1","27","0.1","20.2","OFF","OPEN","19.3","31.6"
"19/02/2025, 11:53:56","11:53","27.0","27","0.0","21.0","OFF","OPEN","27.0","27","0.0","20.1","OFF","OPEN","19.3","31.5"
"19/02/2025, 11:54:39","11:54","26.7","27","-0.3","21.5","ON","CLOSED","26.9","27","-0.1","20.2","ON","CLOSED","19.3","31.6"
"19/02/2025, 11:55:12","11:55","26.5","27","-0.5","21.7","ON","CLOSED","26.9","27","-0.1","20.2","ON","CLOSED","19.3","31.6"
"19/02/2025, 11:55:51","11:55","26.7","27","-0.3","21.5","ON","CLOSED","27.1","27","0.1","19.9","OFF","OPEN","19.3","31.6"
"19/02/2025, 11:56:24","11:56","27.0","27","0.0","21.5","ON","CLOSED","27.2","27","0.2","19.8","OFF","OPEN","19.3","31.5"
"19/02/2025, 11:57:03","11:57","27.2","27","0.2","21.1","OFF","OPEN","27.2","27","0.2","19.9","OFF","OPEN","19.3","31.6"
"19/02/2025, 11:57:37","11:57","27.3","27","0.3","20.9","OFF","OPEN","27.1","27","0.1","20.0","OFF","OPEN","19.3","31.5"
"19/02/2025, 11:58:10","11:58","27.1","27","0.1","21.0","OFF","OPEN","27.0","27","0.0","20.1","OFF","OPEN","19.3","31.6"
"19/02/2025, 11:58:53","11:58","26.8","27","-0.2","21.2","ON","CLOSED","26.9","27","-0.1","20.1","ON","CLOSED","19.3","31.6"
"19/02/2025, 12:00:05","12:00","26.9","27","-0.1","21.3","ON","CLOSED","27.2","27","0.2","19.9","OFF","OPEN","19.3","31.5"
"19/02/2025, 12:00:44","12:00","27.2","27","0.2","21.0","OFF","OPEN","27.3","27","0.3","19.6","OFF","OPEN","19.3","31.5"
"19/02/2025, 12:01:18","12:01","27.3","27","0.3","20.9","OFF","OPEN","27.2","27","0.2","19.8","OFF","OPEN","19.3","31.5"
"19/02/2025, 12:01:52","12:01","27.1","27","0.1","20.9","OFF","OPEN","27.1","27","0.1","20.0","OFF","OPEN","19.3","31.5"
"19/02/2025, 12:02:30","12:02","26.8","27","-0.2","21.2","ON","CLOSED","27.0","27","0.0","20.0","OFF","OPEN","19.3","31.5"
"19/02/2025, 12:03:09","12:03","26.6","27","-0.4","21.4","ON","CLOSED","26.8","27","-0.2","20.0","ON","CLOSED","19.3","31.5"
"19/02/2025, 12:03:42","12:03","26.8","27","-0.2","21.4","ON","CLOSED","26.8","27","-0.2","20.1","ON","CLOSED","19.3","31.5"
